,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,매수,매도,거래금액,전용면적(평),평당가격,계약년도,계약월,주소,계약년월일
65,제주특별자치도 제주시 노형동,722-3,722,3,메르헨하우스2,20.14,201611,16,"8,350",10,-,-,2004,연북로 45,-,-,-,,,83500000,6.09235,13705712.902246261,2016,11,제주특별자치도 제주시 노형동 연북로 45,2016-11-16
66,제주특별자치도 서귀포시 호근동,2012,2012,0,하르빌호근,74.11,201611,16,"20,000",5,-,-,2016,중산간동로 8327,-,-,-,,,200000000,22.418274999999998,8921293.007602058,2016,11,제주특별자치도 서귀포시 호근동 중산간동로 8327,2016-11-16
67,제주특별자치도 제주시 노형동,711-2,711,2,이레하이텔,37.0,201611,16,"14,000",9,-,-,2003,연북로 12,-,-,-,,,140000000,11.192499999999999,12508376.144739782,2016,11,제주특별자치도 제주시 노형동 연북로 12,2016-11-16
68,제주특별자치도 제주시 외도일동,505-8,505,8,남건휴먼스2차,40.92,201611,15,"11,000",4,-,-,2015, ,-,-,-,,,110000000,12.3783,8886519.15044877,2016,11,제주특별자치도 제주시 외도일동  ,2016-11-15
69,제주특별자치도 서귀포시 서귀동,163-11,163,11,남양오피스텔,47.61,201611,15,"7,000",2,-,-,1994,태평로 438,-,-,-,,,70000000,14.402025,4860427.613477966,2016,11,제주특별자치도 서귀포시 서귀동 태평로 438,2016-11-15
70,제주특별자치도 서귀포시 서귀동,163-11,163,11,남양오피스텔,25.025,201611,15,"5,600",7,-,-,1994,태평로 438,-,-,-,,,56000000,7.5700625,7397561.116569381,2016,11,제주특별자치도 서귀포시 서귀동 태평로 438,2016-11-15
71,제주특별자치도 제주시 연동,271-5,271,5,연동 이타스,84.92,201611,14,"18,525",6,-,-,2013,신광로 19,-,-,-,,,185250000,25.688299999999998,7211454.2418143675,2016,11,제주특별자치도 제주시 연동 신광로 19,2016-11-14
72,제주특별자치도 제주시 연동,2324-5,2324,5,제주현대오피스텔,33.6,201611,12,"8,300",9,-,-,1990,도령로 87,-,-,-,,,83000000,10.164,8166076.34789453,2016,11,제주특별자치도 제주시 연동 도령로 87,2016-11-12
73,제주특별자치도 제주시 도련일동,1938-5,1938,5,제주 아빌로스,26.46,201611,11,"11,500",4,-,-,2014,건주로4길 6-4,-,-,-,,,115000000,8.00415,14367546.835079305,2016,11,제주특별자치도 제주시 도련일동 건주로4길 6-4,2016-11-11
74,제주특별자치도 제주시 한림읍 수원리,763,763,0,갤럭시 한수풀랜드,84.89,201611,11,"21,000",7,-,-,2016,한림로 785,-,-,-,,,210000000,25.679225,8177816.892838472,2016,11,제주특별자치도 제주시 한림읍 수원리 한림로 785,2016-11-11
75,제주특별자치도 제주시 도련일동,1938-5,1938,5,제주 아빌로스,24.57,201611,11,"10,700",4,-,-,2014,건주로4길 6-4,-,-,-,,,107000000,7.432425,14396378.032741668,2016,11,제주특별자치도 제주시 도련일동 건주로4길 6-4,2016-11-11
76,제주특별자치도 제주시 노형동,906-5,906,5,한신코아오피스텔,60.0,201611,10,"15,000",12,-,-,1991,도령로 54,-,-,-,,,150000000,18.15,8264462.809917356,2016,11,제주특별자치도 제주시 노형동 도령로 54,2016-11-10
77,제주특별자치도 서귀포시 표선면 표선리,845,845,0,해비치빌오피스텔,76.06,201611,10,"21,300",7,-,-,2014,표선중앙로110번길 5,-,-,-,,,213000000,23.00815,9257589.158624226,2016,11,제주특별자치도 서귀포시 표선면 표선리 표선중앙로110번길 5,2016-11-10
78,제주특별자치도 제주시 연동,306-12,306,12,진호 케스텔,31.58,201611,9,"8,400",4,-,-,2003,사장길 37,-,-,-,,,84000000,9.55295,8793095.326574514,2016,11,제주특별자치도 제주시 연동 사장길 37,2016-11-09
79,제주특별자치도 서귀포시 법환동,1196-12,1196,12,루체클래식,84.7,201611,9,"29,300",5,-,-,2016,법환로 51,-,-,-,,,293000000,25.62175,11435596.709826613,2016,11,제주특별자치도 서귀포시 법환동 법환로 51,2016-11-09
80,제주특별자치도 제주시 노형동,721-2,721,2,노형 이타스Ⅲ,83.87,201611,9,"26,652",10,-,-,2016,과원북4길 17,-,-,-,,,266520000,25.370675000000002,10505041.746031588,2016,11,제주특별자치도 제주시 노형동 과원북4길 17,2016-11-09
81,제주특별자치도 제주시 한림읍 수원리,763,763,0,갤럭시 한수풀랜드,84.89,201611,8,"16,800",3,-,-,2016,한림로 785,-,-,-,,,168000000,25.679225,6542253.514270778,2016,11,제주특별자치도 제주시 한림읍 수원리 한림로 785,2016-11-08
82,제주특별자치도 서귀포시 동홍동,393-3,393,3,지예타워 V,80.0,201611,8,"18,818",3,-,-,2015,태평로 483,-,-,-,,,188180000,24.2,7776033.05785124,2016,11,제주특별자치도 서귀포시 동홍동 태평로 483,2016-11-08
83,제주특별자치도 제주시 이도일동,1784-17,1784,17,진용이지빌2차,84.57,201611,8,"21,600",3,-,-,2016,광양6길 28,-,-,-,,,216000000,25.582424999999997,8443296.520951396,2016,11,제주특별자치도 제주시 이도일동 광양6길 28,2016-11-08
84,제주특별자치도 서귀포시 동홍동,393-3,393,3,지예타워 V,84.68,201611,6,"20,700",5,-,-,2015,태평로 483,-,-,-,,,207000000,25.6157,8080981.58551201,2016,11,제주특별자치도 서귀포시 동홍동 태평로 483,2016-11-06
85,제주특별자치도 제주시 오라이동,1357-4,1357,4,혜림 위더스빌,84.92,201611,5,"27,000",3,-,-,2015,연사길 67,-,-,-,,,270000000,25.688299999999998,10510621.567016892,2016,11,제주특별자치도 제주시 오라이동 연사길 67,2016-11-05
86,제주특별자치도 제주시 연동,1373-1,1373,1,아일랜드마이빌,27.38,201611,5,"10,500",2,-,-,2004,신대로22길 25,-,-,-,,,105000000,8.282449999999999,12677408.254803834,2016,11,제주특별자치도 제주시 연동 신대로22길 25,2016-11-05
87,제주특별자치도 제주시 이도일동,1784-17,1784,17,진용이지빌2차,84.57,201611,4,"22,000",2,-,-,2016,광양6길 28,-,-,-,,,220000000,25.582424999999997,8599653.863931978,2016,11,제주특별자치도 제주시 이도일동 광양6길 28,2016-11-04
