,단지명,내용,주소,위도,경도
20,(905-3),"[요약]
(905-3) 오피스텔은 제주특별자치도 제주시 노형동에 있으며, 최근 6개월간 133건의 거래가 있었고 평균 평당 가격은 5,771,688원입니다. 가장 최근 거래는 2025년 05월, 11.1평, 4900억 원에 체결되었습니다. 6개월 전 대비 약 22.2% 하락했습니다.

[거래내역]
- 2025년 05월 22일 | 11.1평 | 0.5억 원
- 2025년 05월 12일 | 11.1평 | 0.6억 원
- 2025년 03월 10일 | 11.1평 | 0.7억 원
- 2025년 02월 24일 | 11.1평 | 0.6억 원
- 2025년 02월 5일 | 11.1평 | 0.6억 원
- 2025년 01월 18일 | 11.1평 | 0.4억 원
- 2025년 01월 2일 | 11.1평 | 0.7억 원
- 2024년 12월 16일 | 11.1평 | 0.6억 원
- 2024년 11월 11일 | 11.1평 | 0.8억 원
- 2024년 07월 29일 | 11.1평 | 0.6억 원
- 2024년 07월 12일 | 11.1평 | 0.4억 원
- 2024년 06월 27일 | 9.9평 | 0.4억 원
- 2024년 06월 18일 | 11.1평 | 0.6억 원
- 2024년 04월 25일 | 11.1평 | 0.6억 원
- 2024년 04월 22일 | 9.9평 | 0.4억 원
- 2024년 04월 8일 | 11.1평 | 0.7억 원
- 2023년 12월 29일 | 11.1평 | 0.6억 원
- 2023년 11월 24일 | 11.1평 | 0.6억 원
- 2023년 10월 16일 | 11.1평 | 0.6억 원
- 2023년 10월 5일 | 11.1평 | 0.7억 원",제주특별자치도 제주시 노형동 도령로 40,33.4879148718789,126.483804489604
21,(968-5),"[요약]
(968-5) 오피스텔은 제주특별자치도 제주시 조천읍 함덕리에 있으며, 최근 6개월간 2건의 거래가 있었고 평균 평당 가격은 9,170,018원입니다. 가장 최근 거래는 2025년 03월, 20.6평, 19500억 원에 체결되었습니다. 6개월 전 대비 약 39.3% 상승했습니다.

[거래내역]
- 2025년 03월 6일 | 20.6평 | 1.9억 원
- 2019년 10월 15일 | 15.8평 | 1.4억 원",제주특별자치도 제주시 조천읍 함덕리 함덕20길 14,33.5395146170483,126.669680304402
22,JS 라메르2차,"[요약]
JS 라메르2차 오피스텔은 제주특별자치도 서귀포시 서귀동에 있으며, 최근 6개월간 4건의 거래가 있었고 평균 평당 가격은 9,902,285원입니다. 가장 최근 거래는 2025년 06월, 7.5평, 7000억 원에 체결되었습니다. 6개월 전 대비 약 10.3% 하락했습니다.

[거래내역]
- 2025년 06월 3일 | 7.5평 | 0.7억 원
- 2025년 06월 3일 | 7.5평 | 0.7억 원
- 2025년 02월 4일 | 7.5평 | 0.8억 원
- 2024년 09월 26일 | 7.1평 | 0.8억 원",제주특별자치도 서귀포시 서귀동 중정로5번길 15,33.2486665476275,126.557804649534
23,JS라메르1차,"[요약]
JS라메르1차 오피스텔은 제주특별자치도 서귀포시 법환동에 있으며, 최근 6개월간 5건의 거래가 있었고 평균 평당 가격은 8,913,219원입니다. 가장 최근 거래는 2025년 03월, 7.5평, 7500억 원에 체결되었습니다. 6개월 전 대비 약 19.0% 상승했습니다.

[거래내역]
- 2025년 03월 17일 | 7.5평 | 0.8억 원
- 2024년 12월 19일 | 7.6평 | 0.6억 원
- 2024년 12월 18일 | 7.5평 | 0.8억 원
- 2024년 11월 6일 | 7.6평 | 0.6억 원
- 2024년 10월 17일 | 7.6평 | 0.7억 원",제주특별자치도 서귀포시 법환동 김정문화로 47,33.2515799211155,126.509666677143
24,가온누리,"[요약]
가온누리 오피스텔은 제주특별자치도 서귀포시 대정읍 하모리에 있으며, 최근 6개월간 7건의 거래가 있었고 평균 평당 가격은 8,118,749원입니다. 가장 최근 거래는 2022년 05월, 25.4평, 24000억 원에 체결되었습니다. 6개월 전 대비 약 47.2% 상승했습니다.

[거래내역]
- 2022년 05월 2일 | 25.4평 | 2.4억 원
- 2020년 11월 6일 | 24.6평 | 1.6억 원
- 2019년 07월 8일 | 25.7평 | 2.0억 원
- 2019년 01월 31일 | 24.6평 | 2.1억 원
- 2017년 12월 12일 | 25.6평 | 2.0억 원
- 2017년 08월 22일 | 24.6평 | 2.0억 원
- 2016년 09월 27일 | 24.6평 | 2.1억 원",제주특별자치도 서귀포시 대정읍 하모리  ,33.2226190237982,126.25393653271
25,가온누리 아파텔,"[요약]
가온누리 아파텔 오피스텔은 제주특별자치도 제주시 애월읍 애월리에 있으며, 최근 6개월간 13건의 거래가 있었고 평균 평당 가격은 9,453,931원입니다. 가장 최근 거래는 2024년 06월, 26.2평, 22500억 원에 체결되었습니다. 6개월 전 대비 약 2.2% 하락했습니다.

[거래내역]
- 2024년 06월 11일 | 26.2평 | 2.2억 원
- 2023년 03월 23일 | 26.2평 | 2.3억 원
- 2022년 12월 20일 | 26.2평 | 2.4억 원
- 2022년 09월 14일 | 26.2평 | 2.5억 원
- 2022년 09월 14일 | 26.2평 | 2.5억 원
- 2022년 08월 18일 | 26.2평 | 2.7억 원
- 2022년 04월 4일 | 26.2평 | 2.5억 원
- 2021년 04월 28일 | 26.2평 | 2.7억 원
- 2021년 04월 28일 | 26.2평 | 2.5억 원
- 2020년 12월 3일 | 26.2평 | 2.5억 원
- 2020년 12월 3일 | 26.2평 | 2.5억 원
- 2020년 09월 4일 | 26.2평 | 2.4억 원
- 2019년 10월 15일 | 26.2평 | 2.4억 원",제주특별자치도 제주시 애월읍 애월리  ,33.4602604050411,126.321453985801
26,가온프라이빗1차,"[요약]
가온프라이빗1차 오피스텔은 제주특별자치도 제주시 애월읍 하귀2리에 있으며, 최근 6개월간 9건의 거래가 있었고 평균 평당 가격은 8,927,660원입니다. 가장 최근 거래는 2024년 10월, 25.7평, 22100억 원에 체결되었습니다. 6개월 전 대비 약 6.8% 하락했습니다.

[거래내역]
- 2024년 10월 24일 | 25.7평 | 2.2억 원
- 2024년 08월 26일 | 25.7평 | 2.1억 원
- 2024년 07월 15일 | 25.7평 | 2.4억 원
- 2024년 05월 28일 | 25.7평 | 2.1억 원
- 2023년 11월 16일 | 25.7평 | 2.4억 원
- 2023년 04월 3일 | 25.7평 | 2.0억 원
- 2020년 08월 1일 | 25.7평 | 2.3억 원
- 2020년 01월 22일 | 25.7평 | 2.3억 원
- 2018년 08월 14일 | 25.7평 | 2.8억 원",제주특별자치도 제주시 애월읍 하귀2리 항몽로 40,33.4800450811524,126.405574293619
27,가온프라이빗2차,"[요약]
가온프라이빗2차 오피스텔은 제주특별자치도 제주시 애월읍 하귀2리에 있으며, 최근 6개월간 5건의 거래가 있었고 평균 평당 가격은 9,932,710원입니다. 가장 최근 거래는 2024년 04월, 25.7평, 25000억 원에 체결되었습니다. 6개월 전 대비 약 2.5% 상승했습니다.

[거래내역]
- 2024년 04월 14일 | 25.7평 | 2.5억 원
- 2020년 01월 16일 | 25.5평 | 2.4억 원
- 2019년 11월 20일 | 25.5평 | 2.5억 원
- 2018년 08월 23일 | 25.7평 | 2.4억 원
- 2018년 08월 7일 | 25.7평 | 2.9억 원",제주특별자치도 제주시 애월읍 하귀2리 항몽로 36,33.4804270657153,126.40555167294
28,갤럭시 탑동빌,"[요약]
갤럭시 탑동빌 오피스텔은 제주특별자치도 제주시 삼도이동에 있으며, 최근 6개월간 3건의 거래가 있었고 평균 평당 가격은 10,460,919원입니다. 가장 최근 거래는 2020년 10월, 17.1평, 17750억 원에 체결되었습니다. 6개월 전 대비 약 10.4% 하락했습니다.

[거래내역]
- 2020년 10월 9일 | 17.1평 | 1.8억 원
- 2020년 09월 30일 | 17.1평 | 1.6억 원
- 2017년 11월 10일 | 17.1평 | 2.0억 원",제주특별자치도 제주시 삼도이동 중앙로4길 8,33.516285562956,126.523826456426
29,갤럭시 한수풀랜드,"[요약]
갤럭시 한수풀랜드 오피스텔은 제주특별자치도 제주시 한림읍 수원리에 있으며, 최근 6개월간 18건의 거래가 있었고 평균 평당 가격은 7,310,281원입니다. 가장 최근 거래는 2024년 10월, 25.7평, 19400억 원에 체결되었습니다. 6개월 전 대비 약 2.1% 상승했습니다.

[거래내역]
- 2024년 10월 24일 | 25.7평 | 1.9억 원
- 2024년 07월 25일 | 25.7평 | 1.9억 원
- 2024년 02월 14일 | 25.7평 | 1.9억 원
- 2023년 12월 19일 | 25.6평 | 1.9억 원
- 2023년 11월 15일 | 25.6평 | 1.8억 원
- 2021년 06월 5일 | 25.7평 | 1.9억 원
- 2020년 07월 1일 | 25.7평 | 1.9억 원
- 2020년 06월 25일 | 25.7평 | 1.8억 원
- 2020년 05월 5일 | 25.7평 | 1.9억 원
- 2019년 12월 12일 | 25.7평 | 1.8억 원
- 2018년 05월 2일 | 25.7평 | 1.9억 원
- 2017년 02월 17일 | 25.7평 | 2.0억 원
- 2016년 11월 11일 | 25.7평 | 2.1억 원
- 2016년 11월 8일 | 25.7평 | 1.7억 원
- 2016년 06월 22일 | 25.7평 | 2.0억 원
- 2016년 03월 31일 | 25.6평 | 1.8억 원
- 2016년 03월 29일 | 25.7평 | 1.8억 원
- 2016년 02월 24일 | 25.6평 | 1.8억 원",제주특별자치도 제주시 한림읍 수원리 한림로 785,33.4239288524611,126.266460018615
