전용면적(㎡),계약년월,계약일,건축년도,거래금액,계약년도,계약월,시,읍면동
82.59,2016-09,30,2016,267370000,2016,9,제주시,노형동
29.39,2016-09,29,1991,30000000,2016,9,제주시,연동
82.59,2016-09,29,2016,273740000,2016,9,제주시,노형동
18.66,2016-09,29,2004,78000000,2016,9,제주시,노형동
61.36,2016-09,28,2016,161760000,2016,9,제주시,외도일동
83.87,2016-09,28,2016,268350000,2016,9,제주시,노형동
81.41,2016-09,27,2016,213000000,2016,9,서귀포시,대정읍
25.21,2016-09,23,2004,105000000,2016,9,제주시,연동
74.43,2016-09,22,2015,280000000,2016,9,제주시,연동
45.5,2016-09,21,2016,143470000,2016,9,제주시,노형동
84.85,2016-09,20,2013,170000000,2016,9,제주시,외도일동
18.66,2016-09,20,2004,79000000,2016,9,제주시,노형동
20.14,2016-09,20,2004,84000000,2016,9,제주시,노형동
30.0,2016-09,12,1991,65000000,2016,9,제주시,노형동
31.78,2016-09,12,2016,132880000,2016,9,제주시,연동
20.14,2016-09,7,2004,88500000,2016,9,제주시,노형동
44.0,2016-09,7,1992,29000000,2016,9,서귀포시,서귀동
84.92,2016-09,5,2013,282000000,2016,9,제주시,연동
73.87,2016-09,5,2015,255000000,2016,9,제주시,연동
73.87,2016-09,5,2015,255000000,2016,9,제주시,연동
39.89,2016-08,26,2016,116000000,2016,8,제주시,외도일동
39.89,2016-08,26,2016,105210000,2016,8,제주시,외도일동
29.16,2016-08,24,1992,50000000,2016,8,제주시,연동
39.89,2016-08,24,2016,128000000,2016,8,제주시,외도일동
82.59,2016-08,23,2016,271010000,2016,8,제주시,노형동
60.0,2016-08,22,1991,90000000,2016,8,제주시,노형동
31.78,2016-08,19,2016,142000000,2016,8,제주시,연동
30.0,2016-08,19,1991,70000000,2016,8,제주시,노형동
64.0,2016-08,19,1991,120000000,2016,8,제주시,노형동
40.11,2016-08,17,2016,119180000,2016,8,제주시,외도일동
20.14,2016-08,17,2004,81000000,2016,8,제주시,노형동
82.59,2016-08,17,2016,274650000,2016,8,제주시,노형동
20.14,2016-08,16,2004,84000000,2016,8,제주시,노형동
83.76,2016-08,12,2015,210000000,2016,8,서귀포시,서홍동
39.89,2016-08,11,2016,113590000,2016,8,제주시,외도일동
39.89,2016-08,11,2016,110800000,2016,8,제주시,외도일동
40.11,2016-08,11,2016,116390000,2016,8,제주시,외도일동
39.89,2016-08,11,2016,116390000,2016,8,제주시,외도일동
40.11,2016-08,11,2016,113590000,2016,8,제주시,외도일동
54.0,2016-08,10,1992,79000000,2016,8,서귀포시,서귀동
33.6,2016-08,10,1990,88000000,2016,8,제주시,연동
20.14,2016-08,10,2004,80000000,2016,8,제주시,노형동
31.78,2016-08,9,2016,144340000,2016,8,제주시,연동
21.75,2016-08,9,2011,92500000,2016,8,제주시,연동
20.14,2016-08,8,2004,80000000,2016,8,제주시,노형동
20.14,2016-08,8,2004,80000000,2016,8,제주시,노형동
43.5,2016-08,2,2011,145000000,2016,8,제주시,연동
46.2,2016-08,2,1990,85000000,2016,8,제주시,연동
43.84,2016-08,2,2003,121000000,2016,8,제주시,연동
30.0,2016-08,2,1991,40000000,2016,8,제주시,노형동
38.25,2016-07,30,1994,47500000,2016,7,서귀포시,서귀동
18.66,2016-07,29,2004,78000000,2016,7,제주시,노형동
26.95,2016-07,29,1994,55000000,2016,7,서귀포시,서귀동
36.0,2016-07,28,1992,48000000,2016,7,서귀포시,서귀동
31.5,2016-07,27,2001,86000000,2016,7,제주시,연동
21.75,2016-07,25,2011,97000000,2016,7,제주시,연동
21.75,2016-07,25,2011,95000000,2016,7,제주시,연동
30.0,2016-07,21,1991,80000000,2016,7,제주시,노형동
33.6,2016-07,20,1990,85000000,2016,7,제주시,연동
20.14,2016-07,19,2004,85000000,2016,7,제주시,노형동
20.14,2016-07,19,2004,68000000,2016,7,제주시,노형동
20.14,2016-07,17,2004,70000000,2016,7,제주시,노형동
18.66,2016-07,17,2004,70000000,2016,7,제주시,노형동
41.06,2016-07,14,1994,48000000,2016,7,서귀포시,서귀동
36.855,2016-07,13,1991,68000000,2016,7,제주시,노형동
71.47,2016-07,12,2012,210000000,2016,7,제주시,노형동
30.0,2016-07,12,1991,85000000,2016,7,제주시,노형동
44.0,2016-07,8,1992,40000000,2016,7,서귀포시,서귀동
20.14,2016-07,7,2004,97000000,2016,7,제주시,노형동
29.74,2016-07,6,2004,80780000,2016,7,제주시,삼도일동
29.74,2016-07,6,2004,103990000,2016,7,제주시,삼도일동
29.74,2016-07,6,2004,80780000,2016,7,제주시,삼도일동
30.51,2016-06,30,2003,105000000,2016,6,제주시,노형동
21.75,2016-06,30,2011,95000000,2016,6,제주시,연동
39.04,2016-06,27,2004,95000000,2016,6,제주시,삼도일동
21.75,2016-06,27,2011,90000000,2016,6,제주시,연동
32.0,2016-06,26,1992,29450000,2016,6,서귀포시,서귀동
35.0,2016-06,26,1992,29450000,2016,6,서귀포시,서귀동
35.0,2016-06,26,1992,29450000,2016,6,서귀포시,서귀동
48.0,2016-06,26,1992,34360000,2016,6,서귀포시,서귀동
73.05,2016-06,26,1992,39270000,2016,6,서귀포시,서귀동
44.0,2016-06,26,1992,34360000,2016,6,서귀포시,서귀동
36.4,2016-06,26,1992,29450000,2016,6,서귀포시,서귀동
42.71,2016-06,25,1994,44500000,2016,6,서귀포시,서귀동
72.0,2016-06,24,1992,90000000,2016,6,서귀포시,서귀동
30.0,2016-06,22,1991,74000000,2016,6,제주시,노형동
84.89,2016-06,22,2016,200000000,2016,6,제주시,한림읍
32.0,2016-06,20,1992,45000000,2016,6,서귀포시,서귀동
35.2,2016-06,20,2003,138000000,2016,6,제주시,노형동
82.14,2016-06,18,2016,247000000,2016,6,제주시,삼도이동
81.75,2016-06,16,2015,258000000,2016,6,제주시,노형동
