NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
58,제주특별자치도 제주시 노형동,906-5,906,5,한신코아오피스텔,30.0000,202112,5,"5,000",6,-,-,1991,도령로 54,-,직거래,-
59,제주특별자치도 제주시 도련일동,1938-5,1938,5,제주 아빌로스,35.1000,202112,5,"10,000",7,-,-,2014,건주로4길 6-4,-,중개거래,제주 제주시
60,제주특별자치도 제주시 도련일동,1938-5,1938,5,제주 아빌로스,35.1000,202112,4,"9,000",8,-,-,2014,건주로4길 6-4,-,중개거래,제주 제주시
61,제주특별자치도 제주시 연동,276-9,276,9,신제주오피스텔,29.3900,202112,4,"4,800",10,-,-,1991,신광로 103,-,직거래,-
62,제주특별자치도 제주시 영평동,2169-3,2169,3,엠제이벤처오름,23.3187,202112,2,"10,000",3,-,-,2017,첨단로 199,-,직거래,-
63,제주특별자치도 제주시 노형동,2525-8,2525,8,(2525-8),84.7200,202112,2,"28,677",7,-,-,2019,정존5길 23,-,직거래,-
64,제주특별자치도 제주시 노형동,2525-8,2525,8,(2525-8),84.7200,202112,2,"28,677",6,-,-,2019,정존5길 23,-,직거래,-
65,제주특별자치도 제주시 노형동,2525-8,2525,8,(2525-8),84.7200,202112,2,"28,177",5,-,-,2019,정존5길 23,-,직거래,-
66,제주특별자치도 제주시 영평동,2169-3,2169,3,엠제이벤처오름,23.3187,202112,1,"10,200",4,-,-,2017,첨단로 199,-,직거래,-
67,제주특별자치도 제주시 애월읍 하귀1리,117-1,117,1,제주모닝시티,25.4694,202112,1,"14,812",6,-,-,2018,하귀9길 2,-,직거래,-
68,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,82.3300,202112,1,"19,278",4,-,-,2021,탑동로13길 39,-,직거래,-
69,제주특별자치도 제주시 연동,1370-3,1370,3,에코파인,84.2900,202112,1,"31,000",6,-,-,2015, ,-,직거래,-
70,제주특별자치도 제주시 영평동,2169-3,2169,3,엠제이벤처오름,23.3187,202112,1,"10,200",5,-,-,2017,첨단로 199,-,직거래,-
71,제주특별자치도 제주시 연동,260-30,260,30,제주 연동 일성 트루엘,37.4770,202111,30,"17,400",8,-,-,2019,삼무로1길 10-8,-,중개거래,제주 제주시
72,제주특별자치도 제주시 노형동,722-3,722,3,메르헨하우스2,20.1400,202111,30,"4,550",9,-,-,2004,연북로 45,-,직거래,-
73,제주특별자치도 제주시 연동,271-5,271,5,연동 이타스,64.4700,202111,30,"21,500",15,-,-,2013,신광로 19,-,직거래,-
74,제주특별자치도 제주시 삼도이동,14-3,14,3,로이빌,82.1400,202111,29,"26,500",6,-,-,2016, ,-,직거래,-
75,제주특별자치도 제주시 외도일동,445-2,445,2,남건휴먼스4차,43.4400,202111,26,"10,200",8,-,-,2015, ,-,중개거래,제주 제주시
76,제주특별자치도 제주시 노형동,906-5,906,5,한신코아오피스텔,30.0000,202111,25,"3,400",9,-,-,1991,도령로 54,-,직거래,-
77,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,73.4300,202111,25,"30,321",6,-,-,2021,탑동로13길 39,-,직거래,-
78,제주특별자치도 서귀포시 서귀동,251-1,251,1,선경오피스텔,36.0000,202111,25,"2,439",4,-,-,1992,중정로 123,-,직거래,-
79,제주특별자치도 서귀포시 서귀동,163-11,163,11,남양오피스텔,25.0250,202111,25,"3,200",6,-,-,1994,태평로 438,-,직거래,-
80,제주특별자치도 제주시 노형동,722-2,722,2,메르헨하우스3,18.6600,202111,23,"4,500",3,-,-,2004,연북로 41,-,중개거래,제주 제주시
81,제주특별자치도 서귀포시 서귀동,251-1,251,1,선경오피스텔,36.0000,202111,23,"3,000",5,-,-,1992,중정로 123,-,직거래,-
82,제주특별자치도 제주시 연동,306-12,306,12,진호 케스텔,27.7925,202111,23,"6,200",7,-,-,2003,사장길 37,-,중개거래,제주 제주시
83,제주특별자치도 제주시 연동,313-84,313,84,행복한빌,53.9500,202111,23,"17,500",2,-,-,2015, ,-,직거래,-
84,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,72.3200,202111,23,"29,870",6,-,-,2021,탑동로13길 39,-,직거래,-
85,제주특별자치도 제주시 연동,313-84,313,84,행복한빌,53.9500,202111,23,"17,500",2,-,-,2015, ,-,중개거래,제주 제주시
86,제주특별자치도 제주시 노형동,722-2,722,2,메르헨하우스3,20.1400,202111,23,"5,400",4,-,-,2004,연북로 41,-,중개거래,제주 제주시
87,제주특별자치도 제주시 연동,260-30,260,30,제주 연동 일성 트루엘,43.4770,202111,22,"18,500",9,-,-,2019,삼무로1길 10-8,-,중개거래,제주 제주시
88,제주특별자치도 제주시 연동,260-30,260,30,제주 연동 일성 트루엘,40.4770,202111,22,"18,000",6,-,-,2019,삼무로1길 10-8,-,중개거래,제주 제주시
89,제주특별자치도 제주시 노형동,722-3,722,3,메르헨하우스2,20.1400,202111,22,"5,300",3,-,-,2004,연북로 45,-,중개거래,제주 제주시
90,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,84.9000,202111,22,"34,438",5,-,-,2021,탑동로13길 39,-,직거래,-
91,제주특별자치도 제주시 외도일동,449-8,449,8,외도 바움채,77.1106,202111,22,"30,800",7,-,-,2017,절물1길 22,-,중개거래,제주 제주시
92,제주특별자치도 제주시 조천읍 조천리,2203-8,2203,8,보아스빌2차,65.4900,202111,18,"16,500",5,-,-,2017, ,-,직거래,-
93,제주특별자치도 제주시 외도일동,418-3,418,3,(418-3),59.9900,202111,18,"21,500",9,-,-,2017,우정로 10,-,중개거래,제주 제주시
94,제주특별자치도 제주시 연동,260-30,260,30,제주 연동 일성 트루엘,40.4770,202111,18,"18,000",10,-,-,2019,삼무로1길 10-8,-,중개거래,제주 제주시
95,제주특별자치도 서귀포시 서귀동,163-11,163,11,남양오피스텔,25.0250,202111,17,"2,500",2,-,-,1994,태평로 438,-,직거래,-
