NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
849,제주특별자치도 서귀포시 강정동,200,200,0,제주강정유승한내들퍼스트오션,84.9910,202502,25,"49,700",105동,10,개인,개인,2017,대청로 34,-,중개거래,제주 서귀포시,25.03.18
850,제주특별자치도 제주시 일도이동,132-44,132,44,서반,84.6024,202502,25,"27,500",-,7,개인,개인,2000,고마로 21,-,중개거래,제주 제주시,25.03.07
851,제주특별자치도 제주시 노형동,731-2,731,2,한화,108.4439,202502,25,"90,000",-,5,개인,개인,2002,원노형로 102,-,중개거래,제주 제주시,-
852,제주특별자치도 서귀포시 동홍동,201,201,0,삼아,84.4200,202502,25,"29,500",107,5,개인,개인,1991,태평로536번길 6,-,중개거래,제주 서귀포시,25.04.25
853,제주특별자치도 서귀포시 남원읍 위미리,3108,3108,0,금강라이프빌3차,84.9767,202502,24,"21,000",-,7,개인,개인,2015,태위로 54-7,-,직거래,-,25.04.21
854,제주특별자치도 제주시 일도이동,113-1,113,1,일도수선화,49.0600,202502,24,"23,000",일도수선화아파트 다,2,개인,개인,1993,연삼로 560-1,-,중개거래,제주 제주시,25.02.25
855,제주특별자치도 서귀포시 서호동,1540,1540,0,제주서귀포혁신도시엘에이치1단지,84.9400,202502,24,"36,800",105,1,개인,개인,2013,서호남로 92-15,-,중개거래,제주 서귀포시,25.03.05
856,제주특별자치도 제주시 연동,306-6,306,6,장원훼밀리,62.4200,202502,24,"15,000",-,5,개인,개인,2004,사장길 29,-,직거래,-,25.02.24
857,제주특별자치도 제주시 외도일동,491-9,491,9,제이씨티팰리스,60.1100,202502,24,"31,400",1동,11,개인,개인,2022,우정로8길 27,-,중개거래,제주 제주시,25.04.25
858,제주특별자치도 제주시 연동,271-3,271,3,가완에어텔,33.1600,202502,24,"6,800",-,9,개인,개인,2003,신광로 17,-,직거래,-,25.02.25
859,제주특별자치도 서귀포시 대정읍 상모리,3922,3922,0,해누리2차아파트,80.0500,202502,24,"27,500",102동,1,개인,개인,2016,상모로290번길 18,-,직거래,-,25.02.24
860,제주특별자치도 서귀포시 강정동,200,200,0,제주강정유승한내들퍼스트오션,84.9910,202502,24,"65,000",106동,11,법인,개인,2017,대청로 34,-,직거래,-,25.03.12
861,제주특별자치도 제주시 이도일동,1664-4,1664,4,광양미화,84.4600,202502,24,"17,000",-,1,개인,개인,1991,광양4길 22,20250502,중개거래,제주 제주시,-
862,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202502,24,"30,000",201,2,개인,개인,2001,과원로 11,-,중개거래,제주 제주시,25.04.25
863,제주특별자치도 제주시 월평동,747,747,0,제주첨단꿈에그린3단지아파트,84.7938,202502,24,"48,500",314동,2,개인,개인,2018,첨단로동길 106,-,중개거래,제주 제주시,25.04.18
864,제주특별자치도 제주시 도련일동,1689-8,1689,8,세경캐슬2,84.4400,202502,23,"34,350",-,3,개인,개인,2018,도련길 24,-,중개거래,제주 제주시,25.04.23
865,제주특별자치도 제주시 연동,2333-7,2333,7,일류해든빌,116.5800,202502,23,"26,500",-,7,개인,개인,2005,도령로 127-2,-,중개거래,제주 제주시,25.03.04
